Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2023-05-05 04:26 UTC,N/A,false,N/A,
Node.js Essential Training (2019),"Node.js is a powerful tool for controlling servers, building web applications, and creating event-driven programs. And it takes JavaScript—a language familiar to all web developers—out of the browser. With Node.js, you can build applications that run on your laptop or even the cloud. In this course, learn the essentials of Node.js and start creating your own JavaScript applications. Instructor Alex Banks acquaints you with all of the basics, showing how to install Node.js and work with the Node.js core, which includes standard input, standard output, the module system, the file system, and how to write and run JavaScript on the server. Upon wrapping up this course, you’ll be equipped with fundamental Node.js concepts and techniques that you can put to use in your next project.",Course,2021-08-27 15:49 UTC,N/A,false,N/A,
Learning React.js,"React.js is designed to make the process of building modular, reusable user interface components simple and intuitive. In this course, Eve Porcello guides you through the foundations of React development, including the use of React hooks—a new feature starting in React 16.8 that allows developers to add functionality to components without writing classes. Eve shows how to create components, display dynamic data with properties, and render components using JSX syntax.  Eve also manages the state of components with hooks; uses powerful React enhancements, such as the useEffect hook for loading remote data; and leverages cloud deployment options for apps created with create-react-app.<br><br>
 
This course was created by Eve Porcello. We are pleased to offer this training in our library.",Course,2022-02-22 03:20 UTC,N/A,false,N/A,
JavaScript Essential Training (2017),"JavaScript is a scripting language of the web. As the web evolves from a static to a dynamic environment, technology focus is shifting from static markup and styling—frequently handled by content management systems or automated scripts—to dynamic interfaces and advanced interaction. Once seen as optional, JavaScript is now becoming an integral part of the web, infusing every layer with its script.
<br><br>Through practical examples and mini-projects, this course helps you build your understanding of JavaScript piece by piece, from core principles like variables, data types, conditionals, and functions through advanced topics including loops, closures, and DOM scripting. Along the way, you will also be introduced to some ES6 and the basics of JavaScript libraries.",Course,2021-01-16 19:08 UTC,N/A,false,N/A,
Spring Boot 2.0 Essential Training,"Learn how to get started with Spring Boot 2.x, a powerful framework that can help you build web applications quickly, using less code. The Java-based programs you build in Spring Boot ""just run"": they resolve their own dependencies and create containers for running code in any environment. Learn how to use Spring Boot to build your projects in this course with software architect and Spring developer Frank Moley. Frank shows how to initialize, containerize, and run Spring Boot web apps and CLI apps, and use the library of common starter projects to fill business-critical needs: data, messaging, security, and more. Plus, find how to extend Spring Boot by creating your own starters and use the Actuator module's HTTP endpoints to monitor and manage your apps.",Course,2022-08-21 17:59 UTC,N/A,false,N/A,
Introduction to Web Design and Development,"<p>Are you interested in learning more about a career in web design and development? Getting on the internet is one thing, but it’s a little harder to think about how the internet is designed, let alone how you can get involved with designing it.</p><p>In this course, instructor Jen Kramer gives you an introduction to the core structures, vocabulary, and practices that you need to get started creating on the web. Learn about the fundamentals of clients, servers, and browsers, building your skill set for website planning and prototyping, and developing your understanding of user experience and user interface. Get an overview of the three main front-end technologies of websites: HTML, CSS, and JavaScript—followed by a brief introduction to writing code to find out what it’s really like. Not interested in code? No problem. Jen walks you through the available tools and resources that require no coding knowledge at all.",Course,2022-12-07 15:23 UTC,N/A,false,N/A,
JavaScript Practice: Object-Oriented Programming,"Unlike class-based programming languages like Java, JavaScript is a prototype-based procedural language. This means it supports functional <em>and</em> object-oriented programming—with less rigid syntax, greater extensibility, and fewer rules. In this hands-on, interactive course, join instructor Emma Bostian to practice performing basic object-oriented programming tasks in JavaScript to boost your technical know-how, prepare for an interview, or land a new role. This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Emma helps you boost your skills as a JavaScript programmer with five specific, query-focused coding challenges. Practice creating a course roster with functions, a book function with Object.create(), a country with classes, a food ordering class with getters and setters, and a user/admin class with private properties.",Course,2024-02-06 06:20 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Miss Excel (2021),"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with 750,000+ followers on TikTok—as she shares tips and answers to common questions about Microsoft Excel, all set to a beat. Topics include fixing data in Excel (PivotTable), the filter function in Excel (VLOOKUP), VBA basics in Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2022-03-25 11:55 UTC,N/A,false,N/A,
Advanced Java Programming,"Want to get more out of the Java language and platform? In this platform- and framework-neutral course, instructor Bethan Palmer digs into some of the language’s more advanced features, helping you expand your programming skills as she equips you with techniques you can use when building applications anywhere Java is used: in web, mobile, and desktop applications. Bethan covers a variety of topics, including generics, working with the Collections Framework, and functional programming. Plus, learn about I/O in Java, working with files and directories, and structuring applications using the modular system available in Java.",Course,2022-01-26 21:02 UTC,N/A,false,N/A,
Learning ECMAScript 6+ (ES6+),"ECMAScript—the standardized version of JavaScript—keeps getting more powerful. ES6 was a large leap forward, introducing features that changed how developers structure programs. But every year since there have been updates and additional improvements. This course helps you create modern JavaScript applications leveraging the most interesting and useful features in ES6+. Eve Porcello introduces the new keywords and operators that can help simplify code, as well as new ways of creating functions and objects. She also shows you how to write and search through template strings, create map objects to store key/value pairs, move values from one array to another—or one object to another—with the spread operator, build reusable classes, and use arrow functions and generators. Plus, learn how to handle asynchronous data and tasks with promises, fetch, and the async/await syntax.<br><br>

This course was created by Eve Porcello. We are pleased to offer this training in our library.",Course,2022-02-22 05:45 UTC,N/A,false,N/A,
Data Visualization: A Lesson and Listen Series,"<p>Follow along with expert Bill Shander in this series exploring key themes in data visualization, data storytelling, and information design. Each episode is broken into two segments: a short lesson and a listening session where Bill interviews data storytelling and visualization experts about the episode theme. These conversations reveal the creative process, explore techniques and technologies used by working professionals, and illuminate some of the common challenges they face. This series is perfect for anyone interested in how information is presented to the mass market, including professionals in all levels of analytics, data science, and communications.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.<p>",Course,2024-02-20 07:43 UTC,N/A,false,N/A,
Project Management Simplified,"Almost everything you do in the workplace is a project, from the smallest task to the largest endeavor. All of this work can benefit from some basic project management skills. Once mastered, you will be able to transfer this valuable skillset to any project, of any size, in any industry. In this course, management trainer Chris Croft outlines the twelve steps to managing projects without creating a lot of extra overhead, and shows how to use traditional project management tools—such as Gantt charts and network diagrams—to help you succeed. Learn how to plan a project, manage resources, monitor progress, and deliver your project on time and on budget.",Course,2021-01-07 18:05 UTC,N/A,false,N/A,
SQL for Data Analysis,"<p>If you’re looking to use Structured Query Language in your application development but your story is more prequel than SQL, you need to build a solid foundational knowledge of SQL analysis. In this course, instructor Nikiya Simpson starts with a quick review of SQL basics, then focuses on fundamental SQL queries used in beginning data analysis. Nikiya explains the importance of asking the right questions about your data and how those questions translate into SQL. She also shows how these concepts can be used to derive quick insights from your data to help drive effective decision-making. Nikiya finishes the course by demonstrating how to incorporate queries into tools like Jupyter Notebook to help bring your data to life.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out both Codespaces videos to learn how to get started.</p>",Course,2023-12-05 06:35 UTC,N/A,false,N/A,
SQL: Data Reporting and Analysis,"Do you rely on IT to get the data you need? Are you often stuck waiting in line for data, and wish you could just retrieve it yourself? In this course, learn how to get the data you want by writing a bit of SQL code. You won't just be able to pull data out of the database, you'll be able to manipulate it—merging it, grouping it, and relabeling it to get just the report you want. Join Emma Saunders as she shows how to write simple SQL queries for data reporting and analysis using a publicly accessible online database. Learn how to filter, group, and sort data, using built-in SQL functions to format or calculate results. Discover how to perform more complex queries, such as joining data together from different database tables. Last but not least, she introduces views, procedures, functions, and variables.",Course,2023-05-19 17:27 UTC,N/A,false,N/A,
Learning SQL Programming,"Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats.",Course,2023-01-12 14:46 UTC,N/A,false,N/A,
Using Power BI with Excel,"Are you ready to take your skills as a data analyst to the next level? Power BI is an easy-to-use analytics tool that can streamline how your organization works with data. In this course, instructor John David Ariansen shows you how to combine the power of a familiar tool, Excel, with all the potential of Power BI.<br><br>Discover how to conduct power pivots, import data, clean and shape data, and model data to present to stakeholders. Learn about performing calculations with Data Analysis Expressions (DAX) and visualizing your data with the various built-in charts and graphs in Power BI. Along the way, John gives you a short primer on how to get the most out of PivotTables and PivotCharts. By the end of this course, you’ll be equipped with new skills to take your data analysis to the next level.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2023-04-26 18:48 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2021-06-03 19:48 UTC,N/A,false,N/A,
"Advanced Power BI: DAX Language, Formulas, and Calculations","<div><a href=""https://www.linkedin.com/newsletters/6827804190581039104?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Helen's LinkedIn Newsletter</a></div><br>Data visualization allows you to represent information digitally and graphically, to convey the results of data analysis. Microsoft Power BI is a suite of business analytics tools that help you gain insights from your data. The suite brings together familiar operations from well-known products—including Excel, Access, Power Query, and Power Pivot—to help you quickly move past the basics and on to comprehensive analysis. In this course, Helen Wall guides you through the advanced capabilities of the service. She shows how to work with calculations, effectively leverage the DAX language, create advanced queries, and use the M language to improve the querying process. Helen also demonstrates how to get data into Power BI using the Power Query editor and then model the loaded data using DAX columns, tables, and measures. To lend these concepts a real-world context, she shares how to create a financial model for loans.",Course,2023-11-02 12:10 UTC,N/A,false,N/A,
Writing a Tech Resume,"When you apply for technology jobs, your resume is your opportunity to stand out from the crowd. Emma Bostian shows you how to showcase your technology skills, framing them to impress recruiters and potential employers. Discover how to tailor the content and length to catch a hiring manager’s eye. Learn how to leverage minor design details like spacing, font choice, and color palette to differentiate your resume from the rest, without stepping too far out. Plus, learn how to create a professional online presence on the platforms tech recruiters use most: LinkedIn and GitHub.",Course,2021-08-23 12:05 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-12-22 03:30 UTC,N/A,false,N/A,
Planning a Career in User Experience (2021),"User experience is a rewarding career. Successful UX professionals can improve technology so that it is more efficient, effective, and satisfying for those that use it. But where does a career in UX start?<br><br>

In this course, UX expert Cory Lebson breaks down the sub-disciplines of user experience (the trifecta of design, research, and strategy), so you can learn about the different jobs that align with your strengths and passions. Cory helps you understand job responsibilities as well as the benefits of working full-time for a company vs. consulting or freelancing. With his guidance, you can create a more compelling resume and portfolio package and make sure that you properly brand yourself as a UX professional.<br><br>

This course offers focused career advice for job seekers, tips for recruiters and employers who want to better understand UX, and a necessary framework for grad/undergrad students exploring the next step in their career. Along the way, Cory highlights training in the library to build specific UX skills.",Course,2022-10-04 22:36 UTC,N/A,false,N/A,
WordPress: Speeding Up Your Site,"Slow loading speeds equal lost customers. In this course, instructor Patrick Rauland walks through steps you can take to make a typical WordPress site lightning fast. Patrick explains why speed is so important, then shows you how to check and monitor your speed. He describes how websites slow down and how to identify static and dynamic WordPress sites. Patrick goes into hosting and all the ways a good website host can speed up your site. He covers ways you can make sure media isn’t slowing down your site, such as optimizing images, using a content delivery network (CDN), and offloading audio and video files. Patrick shows you how to balance fast versus functional, in making sure plugins don’t slow down your site. After going over how to make your database more efficient, Patrick concludes with a discussion of caching and how “busting” your cache can speed up your site.",Course,2023-07-24 17:36 UTC,N/A,false,N/A,
JavaScript Essential Training,"JavaScript is a scripting language of the web. As the web evolves from a static to a dynamic environment, technology focus is shifting from static markup and styling to dynamic interfaces and advanced interaction. Once seen as optional, JavaScript is now becoming an integral part of the web, infusing every layer with its script.</p><p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills. Instructor Morten Rand-Hendriksen helps you build your understanding of JavaScript piece by piece, from core principles like variables, data types, conditionals, and functions through advanced topics including loops, and DOM scripting. </p>",Course,2023-04-26 18:51 UTC,N/A,false,N/A,
Learning Node.js,"Node.js is a platform built on the Chrome JavaScript runtime that can help you build fast, scalable network applications. Node.js uses an event-driven, non-blocking I/O model that makes it lightweight and efficient—perfect for data-intensive real-time applications that run across distributed devices. In this course, learn the basics of Node.js, and discover how to build a simple application. Alexander Zanfir goes into topics such as npm, reading and writing files, and Node.js frameworks. He covers Node.js features, such as async/await, and dives into popular web development concepts. Alexander also walks through how to build a demo chat app from start to finish.",Course,2022-02-05 03:37 UTC,N/A,false,N/A,
Designing Learning Experiences in the Metaverse,"If you work in learning and development, you most likely know that the future is already here. Now, not only do you have to design experiences for elearning modules, microlearning, and online or hybrid classrooms, you also have to design learning platforms and curriculum that meet the unique needs and opportunities of the metaverse.<br><br>Join instructor Karl Kapp in this cornerstone skills course on effective virtual learning and development. Karl shows you how to build collaborative, three-dimensional learning experiences to take your instructional design skill set to the next professional level. Learn about the fundamentals of the metaverse for successful learning, why well-designed learning really matters, and when and how to conduct future-forward instructional experiences, evaluate your performance, overcome critical incidents, and more. By the end of this course, you’ll be ready to wield your new metaverse design skills to promote virtual collaboration, innovation for growth, and learning.",Course,2024-03-14 06:45 UTC,N/A,false,N/A,
